claim_id,claim,gold_doc_labels,gold_label_group,best_gold_rank_within_top10,retrieved_top10,predicted_top10_labels,status@3,retrieved_gold_docs@3,correct_gold_docs@3,status@5,retrieved_gold_docs@5,correct_gold_docs@5,status@10,retrieved_gold_docs@10,correct_gold_docs@10
3,"1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants.","{""14717500"": ""SUPPORTS""}",SUPPORTS,5,"[23389795, 3662132, 1544804, 1388704, 14717500, 5650232, 3444507, 2739854, 13914198, 15153602]","[""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",retrieval_miss,[],[],stance_error,[14717500],[],stance_error,[14717500],[]
5,1/2000 in UK have abnormal PrP positivity.,"{""13734012"": ""SUPPORTS""}",SUPPORTS,8,"[2739854, 70490, 27466734, 43629704, 18617259, 15663829, 63858430, 13734012, 841371, 14717500]","[""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""REFUTES"", ""NOINFO"", ""NOINFO"", ""REFUTES"", ""NOINFO"", ""NOINFO""]",retrieval_miss,[],[],retrieval_miss,[],[],stance_error,[13734012],[]
42,A high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha (+)- thalassemia trait subjects.,"{""18174210"": ""REFUTES""}",REFUTES,2,"[27889071, 18174210, 40913091, 27162821, 4449524, 10128893, 6315132, 24042919, 32481310, 24049225]","[""NOINFO"", ""REFUTES"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",success,[18174210],[18174210],success,[18174210],[18174210],success,[18174210],[18174210]
48,"A total of 1,000 people in the UK are asymptomatic carriers of vCJD infection.","{""13734012"": ""REFUTES""}",REFUTES,0,"[11349166, 24512064, 3698758, 23203102, 13322804, 46353045, 46355579, 29955650, 21884059, 18617259]","[""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""SUPPORTS""]",retrieval_miss,[],[],retrieval_miss,[],[],retrieval_miss,[],[]
49,ADAR1 binds to Dicer to cleave pre-miRNA.,"{""5953485"": ""SUPPORTS""}",SUPPORTS,1,"[5953485, 23913146, 5702790, 8006440, 12652963, 2619579, 7029990, 153744, 13964633, 1333643]","[""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",success,[5953485],[5953485],success,[5953485],[5953485],success,[5953485],[5953485]
50,AIRE is expressed in some skin tumors.,"{""12580014"": ""SUPPORTS""}",SUPPORTS,1,"[12580014, 25738896, 39559521, 36950726, 12489130, 13989491, 29124963, 23599024, 15707049, 18488986]","[""SUPPORTS"", ""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""SUPPORTS""]",success,[12580014],[12580014],success,[12580014],[12580014],success,[12580014],[12580014]
51,ALDH1 expression is associated with better breast cancer outcomes.,"{""45638119"": ""REFUTES""}",REFUTES,1,"[45638119, 15721252, 7821634, 14180565, 13519661, 5649538, 18340282, 16734530, 24249915, 4418878]","[""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",stance_error,[45638119],[],stance_error,[45638119],[],stance_error,[45638119],[]
53,ALDH1 expression is associated with poorer prognosis in breast cancer.,"{""45638119"": ""SUPPORTS""}",SUPPORTS,1,"[45638119, 7821634, 14180565, 15721252, 24834968, 4820792, 4418878, 5649538, 24249915, 16734530]","[""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",success,[45638119],[45638119],success,[45638119],[45638119],success,[45638119],[45638119]
54,AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,"{""49556906"": ""REFUTES""}",REFUTES,1,"[49556906, 24721866, 1590744, 3419709, 3973445, 38533515, 22621251, 5172048, 23509113, 26025820]","[""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",stance_error,[49556906],[],stance_error,[49556906],[],stance_error,[49556906],[]
56,APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation causing GABA neuron degeneration.,"{""4709641"": ""SUPPORTS""}",SUPPORTS,1,"[4709641, 22185730, 22116439, 15347087, 6492658, 4459491, 26336593, 13921783, 3140772, 13814480]","[""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",success,[4709641],[4709641],success,[4709641],[4709641],success,[4709641],[4709641]
57,"APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation, delaying GABA neuron degeneration.","{""4709641"": ""REFUTES""}",REFUTES,1,"[4709641, 22185730, 22116439, 15347087, 3140772, 6492658, 4459491, 26336593, 13814480, 11250124]","[""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",stance_error,[4709641],[],stance_error,[4709641],[],stance_error,[4709641],[]
70,Activation of PPM1D suppresses p53 function.,"{""4414547"": ""SUPPORTS"", ""5956380"": ""SUPPORTS""}",SUPPORTS,1,"[5956380, 4414547, 9169645, 35684881, 27949347, 21557055, 41710132, 28107602, 21307488, 43880096]","[""SUPPORTS"", ""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",success,"[5956380, 4414547]","[5956380, 4414547]",success,"[5956380, 4414547]","[5956380, 4414547]",success,"[5956380, 4414547]","[5956380, 4414547]"
100,All hematopoietic stem cells segregate their chromosomes randomly.,"{""4381486"": ""SUPPORTS""}",SUPPORTS,1,"[4381486, 14550841, 13116880, 92499, 4421787, 5415832, 30714190, 3391547, 5782614, 25516011]","[""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",success,[4381486],[4381486],success,[4381486],[4381486],success,[4381486],[4381486]
113,Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency.,"{""6157837"": ""SUPPORTS""}",SUPPORTS,1,"[6157837, 25816994, 14584755, 1759213, 44030361, 10072941, 3825750, 40790033, 27428509, 14121786]","[""SUPPORTS"", ""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",success,[6157837],[6157837],success,[6157837],[6157837],success,[6157837],[6157837]
115,Anthrax spores can be disposed of easily after they are dispersed.,"{""33872649"": ""REFUTES""}",REFUTES,1,"[33872649, 8069939, 10314816, 46602807, 30844602, 695938, 4999387, 35768199, 10982689, 31460499]","[""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",stance_error,[33872649],[],stance_error,[33872649],[],stance_error,[33872649],[]
118,Antibiotic induced alterations in the gut microbiome reduce resistance against Clostridium difficile,"{""6372244"": ""SUPPORTS""}",SUPPORTS,2,"[4465735, 6372244, 41165286, 2604063, 52805891, 4492358, 15578265, 42800527, 26702468, 21956124]","[""REFUTES"", ""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",success,[6372244],[6372244],success,[6372244],[6372244],success,[6372244],[6372244]
